VALUATION_DATE,PRODUCT_TYPE,Risk Type & Greeks,Liability,Asset
20250512,WB, Total Equity,72.5637537301768,-71.70798985809039
20250512,WB,  Equity Delta,73.04000304263381,-72.31113926357192
20250512,WB,  Equity Gamma & Residual,-0.47624931245700763,0.6031494054815334
20250512,WB, Total Interest Rate,46.02524388396752,-47.09825106600105
20250512,WB,  Interest Rate Rho,46.05296946934005,-45.70446255416867
20250512,WB,  Interest Rate Convexity & Residual,-0.02772558537253017,-0.236735394120638
20250512,WB,  Interest Rate Basis,0,-1.1570531177117405
20250512,WB, Total Credit,5.3397663523393675,-3.5348320830070046
20250512,WB, HY Total,3.3696443175904554,-3.2552284070070168
20250512,WB, AGG Credit,3.2414726098030107,-0.2796036759999877
20250512,WB, Agg Risk Free Growth,-1.271350575054098,0
20250512,WB, ILP Update,0,0
20250512,WB, Fund Basis & Fund Mapping,22.801134382999283,-8.095401212328035
20250512,WB, Total Hedgable,146.72989834948297,-130.4364742194265
20250512,WB, Passage of Time,-4.14978130746801,4.14978130746801
20250512,WB, Other Inforce,5.272414269790637,0
20250512,WB, New Business,0.0011959880000000003,0
20250512,WB," Cross Impact, True-up",0.4253830771948799,-2.373674900503829e-06
20250512,WB, Total non-hedged,1.5492120275175072,4.14977893379311
20250512,DBIB,Equity Delta,32.284673466366215,-32.453466082981194
20250512,DBIB,Equity Gamma & Residual,-0.5218695295199892,0.6913714975009753
20250512,DBIB,Interest Rate Rho,27.205031354125236,-27.468825297377983
20250512,DBIB,Interest Rate Convexity & Residual,-0.11273607525429843,-0.12075940005256444
20250512,DBIB,Interest Rate Basis,0,-0.482796279844881
20250512,DBIB,HY Total,1.2627862136102674,-1.1376197705000057
20250512,DBIB,AGG Credit,0.2560823668607687,0
20250512,DBIB,Agg Risk Free Growth,-0.17906219115523878,0
20250512,DBIB,ILP Update,0,0
20250512,DBIB,Fund Basis & Fund Mapping,7.297958413999611,-2.578221117218807
20250512,DBIB, Total Hedgable,67.49286401903257,-63.550316450474455
20250512,DBIB,Passage of Time,-0.3314459314968289,0.33144593149682866
20250512,DBIB,Other Inforce,-0.02042179088989099,0
20250512,DBIB,New Business,0,0
20250512,DBIB,"Cross Impact, True-up",-0.7158162946459069,-1.3414806756423787e-05
20250512,DBIB, Total non-hedged,-1.0676840170326267,0.33143251669007223
